,YEAR,COUNTY,POP,POP_INC,POP_WORK_AGE,POP_MALE,POP_BLACK,POP_HISP
0,1989.0,29145.0,44073.0,0.9366984243312568,60.23415696685046,48.735053207179,0.3947995371315772,0.7354754804134808
1,1989.0,29097.0,90335.0,0.3666462974279207,60.09409420490397,47.574029999446495,1.265290308296895,0.8905122376464876
2,1989.0,20205.0,10494.0,-0.5308056872037915,56.27977892128835,47.8273299028016,0.1905850962454736,0.5660193227286034
3,1989.0,20185.0,5505.0,-0.2717391304347826,55.113533151680286,48.22888283378746,0.19981834695731154,2.0500282113974047
4,1989.0,20173.0,401152.0,1.6325992885880194,62.20385290363753,48.95002393107849,8.980386486917679,4.36466450657789
5,1989.0,20155.0,62661.0,-0.16569744284234844,59.92563157306778,49.108695999106295,2.784826287483442,3.955128205128205
6,1989.0,20145.0,7676.0,0.7481296758104738,58.01198540906722,50.312662845231884,3.1657113079729027,3.1752358177228643
7,1989.0,20133.0,17255.0,0.24982570299790846,57.43262822370328,47.980295566502456,1.112720950449145,2.04165444411851
8,1989.0,20125.0,39220.0,-2.1164021164021163,57.02702702702703,47.24120346761856,6.325854156042834,1.901542907270757
9,1989.0,20099.0,24225.0,0.01238543472875898,56.67698658410733,47.87203302373581,4.350877192982456,2.1127953255991194
10,1989.0,20093.0,4142.0,-1.5684410646387832,56.27716079188798,50.86914534041526,0.12071463061323033,16.587795765877956
11,1989.0,20083.0,2220.0,-1.3333333333333333,56.71171171171172,49.45945945945946,0.990990990990991,1.152604887044721
12,1989.0,20079.0,30967.0,0.4900051921079959,58.18774824813511,48.403138825201026,1.8277521232279523,5.2039698395308385
13,1989.0,20075.0,2400.0,1.0101010101010102,57.20833333333334,47.70833333333334,0.20833333333333331,5.316031812473838
14,1989.0,20073.0,7858.0,-2.044377960608327,54.97582081954695,48.218376177144314,0.11453296004072284,1.0214504596527068
15,1989.0,20069.0,5397.0,-1.6402405686167305,56.06818602927552,49.305169538632576,0.20381693533444506,4.0385327899221934
16,1989.0,20057.0,27504.0,-0.4235907461713913,58.431500872600346,50.46538685282141,1.8833624200116343,15.077258680239954
17,1989.0,20055.0,32786.0,1.0447807193269023,57.32629781004086,50.722869517476965,1.4091380467272616,25.509036144578317
18,1989.0,20049.0,3327.0,0.09025270758122744,54.373309287646535,48.0312593928464,0.15028554253080853,1.3537906137184117
19,1989.0,20047.0,3826.0,-1.0602534264287562,55.67171981181391,47.935180345007836,0.15682174594877155,4.9933949801849415
20,1989.0,20037.0,35843.0,-1.2834283510975242,58.5163072287476,47.95078536952822,1.3224339480512235,0.893810781943898
21,1989.0,20021.0,21665.0,-2.3175075521890083,58.23678744518809,47.583660281560114,0.5492730210016155,0.7506098705197973
22,1989.0,20015.0,50007.0,-0.07193813320544333,59.119723238746566,49.06713060171575,0.7318975343451917,1.424850015787812
23,1989.0,8099.0,13501.0,-3.1839368949444244,56.52914598918597,48.69268943041256,0.3110880675505518,23.49677612835508
24,1990.0,29145.0,44597.0,1.1889365371088876,60.481646747539074,48.74318900374465,0.3968876830280064,0.7354754804134808
25,1990.0,29097.0,90622.0,0.317706315381635,60.20833793118668,47.6120588819492,1.277835404206484,0.8905122376464876
26,1990.0,20205.0,10247.0,-2.3537259386315994,56.1237435346931,47.85790963208744,0.14638430760222504,0.5660193227286034
27,1990.0,20185.0,5317.0,-3.4150772025431424,54.78653375963889,48.42956554447997,0.0940379913485048,2.0500282113974047
28,1990.0,20173.0,404613.0,0.8627652361199745,62.15173511478871,48.97074488461814,9.066194116353158,4.36466450657789
29,1990.0,20155.0,62400.0,-0.41652702638004496,59.94230769230769,49.197115384615394,2.8028846153846154,3.955128205128205
30,1990.0,20145.0,7527.0,-1.9411151641479936,57.77866347814534,50.4849209512422,3.1885213232363485,3.1752358177228643
31,1990.0,20133.0,17045.0,-1.2170385395537526,57.453798767967136,47.890877090055724,1.0325608682898209,2.04165444411851
32,1990.0,20125.0,38758.0,-1.1779704232534423,57.06692811806594,47.33732390732236,6.3702977449816816,1.901542907270757
33,1990.0,20099.0,23618.0,-2.5056759545923635,56.71945126598357,47.95071555593192,4.356846473029045,2.1127953255991194
34,1990.0,20093.0,4015.0,-3.0661516175760504,56.064757160647574,50.83437110834372,0.074719800747198,16.587795765877956
35,1990.0,20083.0,2169.0,-2.2972972972972974,56.43153526970954,49.37759336099585,0.5993545412632549,1.152604887044721
36,1990.0,20079.0,31034.0,0.2163593502761004,58.1813494876587,48.527421537668374,1.8141393310562608,5.2039698395308385
37,1990.0,20075.0,2389.0,-0.4583333333333333,56.92758476349938,47.38384261197154,0.08371703641691085,5.316031812473838
38,1990.0,20073.0,7832.0,-0.3308729956731993,54.96680286006129,48.08478038815117,0.025536261491317668,1.0214504596527068
39,1990.0,20069.0,5398.0,0.01852881230313137,56.002223045572435,49.12930715079659,0.055576139310855865,4.0385327899221934
40,1990.0,20057.0,27505.0,0.0036358347876672475,58.52754044719142,50.66715142701327,1.9305580803490276,15.077258680239954
41,1990.0,20055.0,33200.0,1.2627340938205331,57.430722891566255,50.77409638554217,1.4457831325301205,25.509036144578317
42,1990.0,20049.0,3324.0,-0.09017132551848513,54.302045728038514,48.074608904933825,0.0,1.3537906137184117
43,1990.0,20047.0,3785.0,-1.0716152639832723,55.667107001321014,47.8996036988111,0.026420079260237785,4.9933949801849415
44,1990.0,20037.0,35578.0,-0.7393354350919287,58.555849120242854,48.043734892349214,1.3547698015627636,0.893810781943898
