,YEAR,COUNTY,ZIP,POP,POP_INC,POP_WORK_AGE,POP_MALE,POP_BLACK,POP_HISP
0,1989.0,29097.0,64804.0,30852.0,0.3666462974279207,60.09409420490397,47.574029999446495,0.6797829923524413,0.8232853623752107
1,1989.0,20155.0,67501.0,27145.0,-0.16569744284234844,59.92563157306778,49.108695999106295,5.7555940750078785,6.487382575059863
2,1989.0,20155.0,67502.0,21226.0,-0.16569744284234844,59.92563157306778,49.108695999106295,0.2727142241997991,1.5311410534250447
3,1989.0,20155.0,67505.0,4109.0,-0.16569744284234844,59.92563157306778,49.108695999106295,0.4530581424616159,3.3098077391092717
4,1989.0,20155.0,67510.0,283.0,-0.16569744284234844,59.92563157306778,49.108695999106295,1.492537313432836,5.300353356890461
5,1989.0,20047.0,67519.0,262.0,-1.0602534264287562,55.67171981181391,47.935180345007836,0.0,0.0
6,1989.0,20155.0,67522.0,1796.0,-0.16569744284234844,59.92563157306778,49.108695999106295,0.2849002849002849,2.282850779510022
7,1989.0,20145.0,67529.0,363.0,0.7481296758104738,58.01198540906722,50.312662845231884,0.0,0.8264462809917356
8,1989.0,20155.0,67543.0,2221.0,-0.16569744284234844,59.92563157306778,49.108695999106295,0.13593112822836428,0.6303466906798739
9,1989.0,20047.0,67547.0,2308.0,-1.0602534264287562,55.67171981181391,47.935180345007836,0.09009009009009007,3.812824956672444
10,1989.0,20145.0,67550.0,6594.0,0.7481296758104738,58.01198540906722,50.312662845231884,3.802461344272641,3.882317258113437
11,1989.0,20047.0,67552.0,772.0,-1.0602534264287562,55.67171981181391,47.935180345007836,0.0,13.73056994818653
12,1989.0,20185.0,67557.0,713.0,-0.2717391304347826,55.113533151680286,48.22888283378746,0.0,6.03085553997195
13,1989.0,20155.0,67561.0,1602.0,-0.16569744284234844,59.92563157306778,49.108695999106295,0.31525851197982346,0.9987515605493134
14,1989.0,20047.0,67563.0,330.0,-1.0602534264287562,55.67171981181391,47.935180345007836,0.0,0.9090909090909092
15,1989.0,20155.0,67566.0,565.0,-0.16569744284234844,59.92563157306778,49.108695999106295,0.0,0.5309734513274337
16,1989.0,20155.0,67568.0,268.0,-0.16569744284234844,59.92563157306778,49.108695999106295,0.0,0.373134328358209
17,1989.0,20185.0,67576.0,2446.0,-0.2717391304347826,55.113533151680286,48.22888283378746,0.7903494176372712,1.7170891251022078
18,1989.0,20185.0,67578.0,1593.0,-0.2717391304347826,55.113533151680286,48.22888283378746,0.0,2.3854362837413685
19,1989.0,20155.0,67581.0,409.0,-0.16569744284234844,59.92563157306778,49.108695999106295,0.0,0.0
20,1989.0,20057.0,67801.0,23230.0,-0.4235907461713913,58.431500872600346,50.46538685282141,1.923379277815628,17.86052518295308
21,1989.0,20069.0,67835.0,2299.0,-1.6402405686167305,56.06818602927552,49.305169538632576,0.0,2.827316224445411
22,1989.0,20075.0,67836.0,114.0,1.0101010101010102,57.20833333333334,47.70833333333334,0.2083333333333333,5.316031812473838
23,1989.0,20093.0,67838.0,907.0,-1.5684410646387832,56.27716079188798,50.86914534041526,0.0,33.18632855567806
24,1989.0,20069.0,67841.0,334.0,-1.6402405686167305,56.06818602927552,49.305169538632576,0.6329113924050633,5.389221556886229
25,1989.0,20057.0,67843.0,664.0,-0.4235907461713913,58.431500872600346,50.46538685282141,0.0,15.36144578313253
26,1989.0,20055.0,67846.0,30106.0,1.0447807193269023,57.326297810040856,50.722869517476965,2.1745014887665794,26.37348036936159
27,1989.0,20055.0,67851.0,2061.0,1.0447807193269023,57.326297810040856,50.722869517476965,0.4091174751607247,16.982047549733142
28,1989.0,20069.0,67853.0,718.0,-1.6402405686167305,56.06818602927552,49.305169538632576,0.0,5.988857938718662
29,1989.0,20083.0,67854.0,1467.0,-1.3333333333333333,56.71171171171172,49.45945945945946,0.4149377593360996,1.4314928425357871
30,1989.0,20075.0,67857.0,83.0,1.0101010101010102,57.20833333333334,47.70833333333334,0.0,8.433734939759036
31,1989.0,20015.0,67002.0,5368.0,-0.07193813320544333,59.119723238746566,49.067130601715746,0.11374407582938388,1.7324888226527568
32,1989.0,20015.0,67010.0,11225.0,-0.07193813320544333,59.119723238746566,49.067130601715746,0.5960982658959537,1.3630289532293989
33,1989.0,20015.0,67012.0,73.0,-0.07193813320544333,59.119723238746566,49.067130601715746,0.0,0.0
34,1989.0,20173.0,67016.0,875.0,1.6325992885880194,62.20385290363753,48.95002393107849,0.11534025374855825,0.9142857142857144
35,1989.0,20015.0,67017.0,2152.0,-0.07193813320544333,59.119723238746566,49.067130601715746,0.0,0.23234200743494424
36,1989.0,20079.0,67020.0,1150.0,0.4900051921079959,58.18774824813511,48.40313882520103,1.3146362839614374,0.7826086956521741
37,1989.0,20173.0,67030.0,1765.0,1.6325992885880194,62.20385290363753,48.95002393107849,0.0,0.7932011331444759
38,1989.0,20173.0,67212.0,40957.0,1.6325992885880194,62.20385290363753,48.95002393107849,1.8217404396266184,2.6979515101203706
39,1989.0,20173.0,67213.0,23535.0,1.6325992885880194,62.20385290363753,48.95002393107849,2.445920473925141,5.3239855534310605
40,1989.0,20173.0,67216.0,23133.0,1.6325992885880194,62.20385290363753,48.95002393107849,6.566654689184332,3.756538278649548
41,1989.0,20173.0,67228.0,700.0,1.6325992885880194,62.20385290363753,48.95002393107849,4.172876304023845,4.142857142857143
42,1989.0,20173.0,67230.0,4951.0,1.6325992885880194,62.20385290363753,48.95002393107849,1.3829570876550743,0.6867299535447384
43,1989.0,20173.0,67232.0,106.0,1.6325992885880194,62.20385290363753,48.95002393107849,0.0,0.0
