,YEAR,COUNTY,ZIP,COLLEGE_COMP,HIGHSCHOOL_COMP,UNEMPLOYMENT_RATE,NAIRPORTS,LAND_AREA,MED_INC,MED_VALUE,HOME_OWNERSHIP
0,1989.0,29097.0,64804.0,20.3288490284006,30.758061071962413,5.4,0.0,44.864311,48114.82022816883,91937.9792374,68.70229007633588
1,1989.0,20155.0,67501.0,12.69172342823541,35.42411917479296,4.4,2.0,476.88942599999996,40549.596178899,60810.9952355,61.49636758184735
2,1989.0,20155.0,67502.0,32.69062772993885,26.8064395357544,4.4,0.0,185.213679,69050.369742493,120797.43460339999,76.39057566188974
3,1989.0,20155.0,67505.0,12.520812520812518,34.5987345987346,4.4,0.0,7.2451669999999995,44336.369000852,85547.6712635,71.69923031379514
4,1989.0,20155.0,67510.0,14.218009478672984,30.331753554502374,4.4,0.0,140.125832,62486.905036397,48030.379287699994,82.85714285714286
5,1989.0,20047.0,67519.0,14.73684210526316,34.21052631578947,2.1,0.0,172.854773,34528.27695575,30918.783645331,75.65217391304348
6,1989.0,20155.0,67522.0,21.834723275208493,33.73768006065201,4.4,0.0,37.123894,65012.107380922,94411.64684019999,83.35974643423138
7,1989.0,20145.0,67529.0,22.0532319391635,33.46007604562737,2.1,0.0,282.559194,48815.76875158901,34012.9295385,76.69172932330827
8,1989.0,20155.0,67543.0,20.377604166666668,31.8359375,4.4,0.0,239.063454,61122.265075519004,97916.0092775,73.41614906832298
9,1989.0,20047.0,67547.0,16.323024054982813,38.54524627720504,2.1,1.0,671.716509,40176.48464881,56894.354864400004,77.20739219712526
10,1989.0,20145.0,67550.0,22.56072457801564,33.34705640181144,2.1,1.0,807.997433,49287.82698579,75034.5839516,70.33965244865719
11,1989.0,20047.0,67552.0,15.57788944723618,39.19597989949749,2.1,0.0,497.44597000000005,50429.836862416,54832.9651954,69.13183279742765
12,1989.0,20185.0,67557.0,18.705035971223023,39.928057553956826,2.3,0.0,23.77471,40941.260216008995,57306.6327982,73.04964539007092
13,1989.0,20155.0,67561.0,19.94459833795014,29.45521698984303,4.4,0.0,168.422147,47411.962387,65346.05250730001,76.84391080617496
14,1989.0,20047.0,67563.0,33.771929824561404,32.017543859649116,2.1,0.0,144.339203,50246.373181875,47411.962387,71.85185185185185
15,1989.0,20155.0,67566.0,17.821782178217823,45.29702970297029,4.4,0.0,153.624437,40368.193888027,52565.436559500005,76.14213197969544
16,1989.0,20155.0,67568.0,23.152709359605907,31.527093596059114,4.4,0.0,166.297525,43010.895443685,60192.578334800004,78.0701754385965
17,1989.0,20185.0,67576.0,26.716676283900753,30.698211194460477,2.3,0.0,828.132151,44396.149301253,57925.049698899995,73.5140771637122
18,1989.0,20185.0,67578.0,18.8871473354232,35.81504702194357,2.3,1.0,576.420192,35043.624373,35662.0412737,76.91237830319889
19,1989.0,20155.0,67581.0,19.23076923076923,38.111888111888106,4.4,1.0,246.54450099999997,48098.405146777004,30918.783645331,70.98765432098766
20,1989.0,20057.0,67801.0,24.28285523682455,26.205349020559158,2.9,1.0,980.669235,52443.814569029004,105337.0120859,63.0184608007672
21,1989.0,20069.0,67835.0,23.73516552154903,30.543410368519677,2.1,1.0,524.8469769999999,54472.222003325,102244.9275824,71.97149643705463
22,1989.0,20075.0,67836.0,12.9,32.8,1.0,0.0,160.143519,53497.184689887996,64207.2005821876,70.8
23,1989.0,20093.0,67838.0,15.934959349593495,26.50406504065041,2.6,0.0,42.630294,55247.304518869,90288.8675022,70.1639344262295
24,1989.0,20069.0,67841.0,29.237288135593218,27.118644067796605,2.1,0.0,65.546809,56401.682733509006,66376.7473418,88.40579710144928
25,1989.0,20057.0,67843.0,11.16504854368932,34.95145631067961,2.9,0.0,0.447309,61105.773958167,108016.8186556,80.24691358024691
26,1989.0,20055.0,67846.0,20.193081255028158,26.17658889782784,3.0,2.0,1945.7835579999999,56045.062320772005,106573.8458873,60.444310414153605
27,1989.0,20055.0,67851.0,14.905814905814905,33.4971334971335,3.0,0.0,553.423253,66302.53731371599,92144.1182043,68.15181518151815
28,1989.0,20069.0,67853.0,23.423423423423422,36.48648648648648,2.1,1.0,126.509825,56945.889606125,74416.1670509,67.3913043478261
