,YEAR,COUNTY,NGROUP,AVG_WAGE
118,1989.0,20155.0,19.0,24701.632403627
119,1989.0,20155.0,20.0,24701.632403627
120,1989.0,20145.0,1.0,34678.758401587
121,1989.0,20145.0,2.0,34678.758401587
122,1989.0,20145.0,3.0,32998.725821352
123,1989.0,20145.0,4.0,34678.758401587
124,1989.0,20145.0,5.0,34678.758401587
125,1989.0,20145.0,6.0,32998.725821352
126,1989.0,20145.0,7.0,32998.725821352
127,1989.0,20145.0,8.0,32998.725821352
128,1989.0,20145.0,9.0,34678.758401587
129,1989.0,20145.0,10.0,43800.407686912
130,1989.0,20145.0,11.0,28620.334164396
131,1989.0,20145.0,12.0,30790.977485852996
132,1989.0,20145.0,13.0,30790.977485852996
133,1989.0,20145.0,14.0,30790.977485852996
134,1989.0,20145.0,15.0,26466.181960291
135,1989.0,20145.0,16.0,26466.181960291
136,1989.0,20145.0,17.0,12304.434934261
137,1989.0,20145.0,18.0,12304.434934261
138,1989.0,20145.0,19.0,34678.758401587
139,1989.0,20145.0,20.0,34678.758401587
140,1989.0,20133.0,1.0,32637.982629277
141,1989.0,20133.0,2.0,32637.982629277
142,1989.0,20133.0,3.0,30263.261730588998
143,1989.0,20133.0,4.0,41551.431558033
144,1989.0,20133.0,5.0,37183.346849422
145,1989.0,20133.0,6.0,30263.261730588998
146,1989.0,20133.0,7.0,30263.261730588998
147,1989.0,20133.0,8.0,30263.261730588998
148,1989.0,20133.0,9.0,33520.257407609
149,1989.0,20133.0,10.0,41116.478337873996
150,1989.0,20133.0,11.0,26315.700514453998
151,1989.0,20133.0,12.0,29869.53630381
152,1989.0,20133.0,13.0,29869.53630381
153,1989.0,20133.0,14.0,29869.53630381
154,1989.0,20133.0,15.0,25396.32072208
155,1989.0,20133.0,16.0,25396.32072208
156,1989.0,20133.0,17.0,10028.660739685
157,1989.0,20133.0,18.0,10028.660739685
158,1989.0,20133.0,19.0,20970.517102736998
159,1989.0,20133.0,20.0,20970.517102736998
160,1989.0,20125.0,1.0,36684.490549524
161,1989.0,20125.0,2.0,36684.490549524
162,1989.0,20125.0,3.0,34874.590420142005
163,1989.0,20125.0,4.0,38181.059449217995
164,1989.0,20125.0,5.0,46043.19964678401
165,1989.0,20125.0,6.0,34874.590420142005
166,1989.0,20125.0,7.0,34874.590420142005
167,1989.0,20125.0,8.0,34874.590420142005
168,1989.0,20125.0,9.0,35715.637405094
169,1989.0,20125.0,10.0,36659.753873496
170,1989.0,20125.0,11.0,30815.714161881002
171,1989.0,20125.0,12.0,40306.352197957
172,1989.0,20125.0,13.0,40306.352197957
173,1989.0,20125.0,14.0,40306.352197957
174,1989.0,20125.0,15.0,30720.890237107003
175,1989.0,20125.0,16.0,30720.890237107003
176,1989.0,20125.0,17.0,12022.024549608
177,1989.0,20125.0,18.0,12022.024549608
178,1989.0,20125.0,19.0,23660.630620782
179,1989.0,20125.0,20.0,23660.630620782
180,1989.0,20099.0,1.0,35268.315846921
181,1989.0,20099.0,2.0,35268.315846921
182,1989.0,20099.0,3.0,30162.253636807996
183,1989.0,20099.0,4.0,35268.315846921
184,1989.0,20099.0,5.0,43400.498091126
185,1989.0,20099.0,6.0,30162.253636807996
186,1989.0,20099.0,7.0,30162.253636807996
187,1989.0,20099.0,8.0,30162.253636807996
188,1989.0,20099.0,9.0,38207.857514915
189,1989.0,20099.0,10.0,36940.10286848
190,1989.0,20099.0,11.0,27294.860607229
191,1989.0,20099.0,12.0,43454.09422252
192,1989.0,20099.0,13.0,43454.09422252
193,1989.0,20099.0,14.0,43454.09422252
194,1989.0,20099.0,15.0,25025.27058166
195,1989.0,20099.0,16.0,25025.27058166
196,1989.0,20099.0,17.0,10469.798128851
197,1989.0,20099.0,18.0,10469.798128851
198,1989.0,20099.0,19.0,25757.063914155
199,1989.0,20099.0,20.0,25757.063914155
200,1989.0,20093.0,1.0,36465.98324461
201,1989.0,20093.0,2.0,36465.98324461
202,1989.0,20093.0,3.0,43806.591855918996
203,1989.0,20093.0,4.0,36465.98324461
204,1989.0,20093.0,5.0,36465.98324461
205,1989.0,20093.0,6.0,43806.591855918996
206,1989.0,20093.0,7.0,43806.591855918996
207,1989.0,20093.0,8.0,43806.591855918996
208,1989.0,20093.0,9.0,36465.98324461
209,1989.0,20093.0,10.0,40877.35713627
210,1989.0,20093.0,11.0,37552.335600173
